,Timestamp,Open,High,Low,Close,Volume
0,2018-04-20 00:00:00,0.9534,0.9758,0.9517,0.9758,2028.51
1,2018-04-20 01:00:00,0.9807,0.9807,0.9653,0.9792,497.66
2,2018-04-20 02:00:00,0.9797,0.9893,0.9746,0.9746,1393.99
3,2018-04-20 03:00:00,0.9706,0.9769,0.9672,0.9684,143.66
4,2018-04-20 04:00:00,0.9651,0.9671,0.9441,0.9485,659.71
5,2018-04-20 05:00:00,0.9485,0.9555,0.9426,0.9537,289.95
6,2018-04-20 06:00:00,0.9557,0.9558,0.9383,0.9491,1275.65
7,2018-04-20 07:00:00,0.946,0.9528,0.946,0.9503,11.76
8,2018-04-20 08:00:00,0.951,0.954,0.951,0.954,26.62
9,2018-04-20 09:00:00,0.954,0.954,0.941,0.9504,550.13
10,2018-04-20 10:00:00,0.9504,0.968,0.9504,0.968,293.74
11,2018-04-20 11:00:00,0.9647,0.9695,0.961,0.9675,75.49
12,2018-04-20 12:00:00,0.9675,0.9747,0.952,0.9678,1113.46
13,2018-04-20 13:00:00,0.9736,0.98,0.965,0.9655,1195.21
14,2018-04-20 14:00:00,0.9659,0.9749,0.9659,0.9736,410.56
15,2018-04-20 15:00:00,0.9771,0.9811,0.967,0.9672,691.76
16,2018-04-20 16:00:00,0.9659,0.9789,0.95,0.9757,979.2
17,2018-04-20 17:00:00,0.9786,0.9837,0.9723,0.9773,1986.73
18,2018-04-20 18:00:00,0.9773,0.9775,0.9716,0.9716,339.3
19,2018-04-20 19:00:00,0.9825,0.9825,0.9648,0.973,153.45
20,2018-04-20 20:00:00,0.9692,0.9796,0.9691,0.9779,138.98
21,2018-04-20 21:00:00,0.976,0.98,0.9717,0.9784,201.59
22,2018-04-20 22:00:00,0.9787,0.9948,0.9699,0.9699,950.47
23,2018-04-20 23:00:00,0.9701,0.9833,0.9645,0.98,990.46
24,2018-04-21 00:00:00,0.9774,0.9774,0.965,0.973,193.2
25,2018-04-21 01:00:00,0.9651,0.966,0.9507,0.955,975.56
26,2018-04-21 02:00:00,0.955,1.12,0.951,0.9629,812.67
27,2018-04-21 03:00:00,0.958,0.9629,0.951,0.9629,103.86
28,2018-04-21 04:00:00,0.9625,0.9722,0.9582,0.962,321.02
29,2018-04-21 05:00:00,0.962,0.9718,0.962,0.9672,212.29
30,2018-04-21 06:00:00,0.9672,0.9672,0.9558,0.9558,575.79
31,2018-04-21 07:00:00,0.9594,0.9594,0.92,0.9305,1417.66
32,2018-04-21 08:00:00,0.9279,0.9387,0.9184,0.9184,222.7
33,2018-04-21 09:00:00,0.9157,0.9188,0.8513,0.8513,1641.24
34,2018-04-21 10:00:00,0.8438,0.8668,0.8336,0.8421,1810.39
35,2018-04-21 11:00:00,0.8421,0.8489,0.8161,0.8481,1603.2
